Year,Italy
1990.0,147.0
1991.0,150.0
1992.0,149.0
1993.0,149.0
1994.0,147.0
1995.0,159.0
1996.0,159.0
1997.0,162.0
1998.0,166.0
1999.0,169.0
2000.0,172.0
2001.0,172.0
2002.0,174.0
2003.0,182.0
2004.0,183.0
2005.0,187.0
2006.0,185.0
2007.0,184.0
2008.0,182.0
2009.0,170.0
2010.0,174.0
2011.0,168.0
2012.0,162.0
2013.0,156.0
2014.0,147.0
2015.0,153.0
2016.0,151.0
2017.0,154.0
2018.0,151.0
2019.0,149.0
2020.0,137.0
,
,
