Year,Germany
1990.0,351.0
1991.0,344.0
1992.0,338.0
1993.0,335.0
1994.0,333.0
1995.0,336.0
1996.0,348.0
1997.0,345.0
1998.0,343.0
1999.0,335.0
2000.0,337.0
2001.0,347.0
2002.0,339.0
2003.0,338.0
2004.0,341.0
2005.0,339.0
2006.0,349.0
2007.0,331.0
2008.0,335.0
2009.0,313.0
2010.0,330.0
2011.0,313.0
2012.0,315.0
2013.0,322.0
2014.0,307.0
2015.0,309.0
2016.0,310.0
2017.0,311.0
2018.0,302.0
2019.0,294.0
2020.0,275.0
,
,
